state,top_or_bottom,rank_state,postcode,suburb,individuals,avg_taxable_income,median_taxable_income,rank_australia
QLD,Top,1,4496,TALWOOD,174,167592,59777,18
QLD,Top,2,4155,CHANDLER,1095,139946,70950,48
QLD,Top,3,4007,"ASCOT, HAMILTON, HAMILTON CENTRAL",11414,133268,70261,51
QLD,Top,4,4005,"NEW FARM, TENERIFFE",12853,128791,76314,58
QLD,Top,5,4065,BARDON,6668,127312,79617,62
QLD,Top,6,4171,"BALMORAL, BULIMBA, HAWTHORNE",11937,126376,79235,67
QLD,Top,7,4011,"CLAYFIELD, HENDRA",11153,112172,69694,120
QLD,Top,8,4567,"CASTAWAYS BEACH, NOOSA HEADS, SUNRISE BEACH, SUNSHINE BEACH",8621,111551,49856,124
QLD,Top,9,4060,"ASHGROVE, ASHGROVE EAST",9123,109573,72258,132
QLD,Top,10,4069,"BROOKFIELD, CHAPEL HILL, FIG TREE POCKET, KENMORE, KENMORE DC, KENMORE EAST, KENMORE HILLS, PINJARRA HILLS, PULLENVALE, UPPER BROOKFIELD",23556,109331,70287,135
QLD,Bottom,1,4494,"BUNGUNYA, NORTH BUNGUNYA, TARAWERA",99,4047,41122,2622
QLD,Bottom,2,4498,"KIOMA, TOOBEAH",117,15449,49476,2620
QLD,Bottom,3,4423,"GLENMORGAN, TEELBA",134,18615,26833,2619
QLD,Bottom,4,4426,"JACKSON, JACKSON NORTH, JACKSON SOUTH",68,20324,37398,2618
QLD,Bottom,5,4613,"ABBEYWOOD, BOONDOOMA, BRIGOODA, COVERTY, KINLEYMORE, MELROSE, OKEDEN, PROSTON, SPEEDWELL,  STALWORTH",394,31244,31098,2612
QLD,Bottom,6,4612,"HIVESVILLE, KAWL KAWL, KEYSLAND, STONELANDS, WIGTON",161,32516,25015,2610
QLD,Bottom,7,4732,MUTTABURRA,81,34814,34926,2607
QLD,Bottom,8,4375,"COTTONVALE (NSW and QLD), FLEURBAIX",137,36634,28452,2604
QLD,Bottom,9,4488,"NEBINE, BOLLON",136,37398,40918,2601
QLD,Bottom,10,4611,"MARSHLANDS, MONDURE",89,37858,34119,2600
SA,Top,1,5061,"HYDE PARK, MALVERN, UNLEY, UNLEY PARK",6944,118952,66910,89
SA,Top,2,5006,NORTH ADELAIDE,4509,115864,63267,97
SA,Top,3,5725,"OLYMPIC DAM, ROXBY DOWNS, ROXBY DOWNS STATION",2384,113009,103714,115
SA,Top,4,5081,"COLLINSWOOD, GILBERTON, MEDINDIE, MEDINDIE GARDENS, VALE PARK, WALKERVILLE",6680,109987,64065,127
SA,Top,5,5632,"KAPINNIE, KARKOO, MITCHELL, YEELANNA",153,102437,69602,177
SA,Top,6,5062,"BROWN HILL CREEK, CLAPHAM, HAWTHORN, KINGSWOOD, LOWER MITCHAM, LYNTON, MITCHAM, MITCHAM SHOPPING CENTRE, NETHERBY, SPRINGFIELD, TORRENS PARK",10335,99950,62300,192
SA,Top,7,5066,"BEAUMONT, BURNSIDE, ERINDALE, HAZELWOOD PARK, STONYFELL, WATERFALL GULLY, WATTLE PARK",8560,99631,63907,195
SA,Top,8,5152,"CLELAND, CRAFERS, CRAFERS WEST, STIRLING",4265,99413,66630,197
SA,Top,9,5069,"COLLEGE PARK, EVANDALE, HACKNEY, MAYLANDS, ST PETERS, STEPNEY",5618,98622,64104,204
SA,Top,10,5064,"GLEN OSMOND, GLENUNGA, MOUNT OSMOND, MYRTLE BANK, ST GEORGES, URRBRAE",6956,98231,58206,206
SA,Bottom,1,5308,"COPEVILLE, GALGA, MANTUNG, MERCUNDA, PERPONDA",72,27116,23597,2616
SA,Bottom,2,5309,"BORRIKA, HALIDON, MINDARIE, SANDALWOOD",51,30178,28749,2613
SA,Bottom,3,5730,"ALPANA, ANGORIGINA, BELTANA, BELTANA STATION, BLINMAN, EDIACARA, GUM CREEK STATION, MOOLOOLOO, MOORILLAH, MOTPENA, MOUNT FALKLAND, NARRINA, NILPENA, ORATUNGA STATION, PARACHILNA, PUTTAPA, WARRAWEENA, WIRREALPA",57,38863,33083,2594
SA,Bottom,4,5307,"KAROONDA, MARAMA",294,42449,37201,2570
SA,Bottom,5,5381,"BRADY CREEK, BRIGHT, EMU DOWNS, GERANIUM PLAINS, HALLELUJAH HILLS, ROBERTSTOWN, ROCKY PLAIN, WORLDS END",182,43007,30519,2561
SA,Bottom,6,5332,"MOOROOK, MOOROOK SOUTH, WAPPILKA, YINKANIE",223,44539,42843,2541
SA,Bottom,7,5220,PARNDANA,208,45012,44197,2536
SA,Bottom,8,5440,"ABMINGA STATION, BENDA, BILLEROO WEST, BIMBOWRIE, BINDARRAH, BOOLCOOMATTA, BULLOO CREEK, COCKBURN, CURNAMONA, DEVONBOROUGH DOWNS, ERUDINA, FLORINA STATION, FROME DOWNS, GRAMPUS, KALABITY, KALKAROO, KOONAMORE, LAKE FROME, MANNA HILL, MANUNDA STATION, MARTINS WELL, MELTON STATION, MINGARY, MOOLEULOOLOO, MOUNT VICTOR STATION, MULYUNGARIE, MUNDI MUNDI, MUTOOROO, NACKARA, NETLEY GAP, OLARY, OULNINA, OULNINA PARK, OUTALPA. PINE CREEK STATION, PLUMBARGO, PUALCO RANGE, QUINYAMBIE, TEPCO STATION, TIKALINA, WADNAMINGA, WAUKARINGA, WEEKEROO, WIAWERA, WINNININNIE, WOMPINIE, YARRAMBA, YUNTA",120,45234,37530,2529
SA,Bottom,9,5418,"COLLINSVILLE, MOUNT BRYAN",56,45421,36305,2527
SA,Bottom,10,5113,"DAVOREN PARK, DAVOREN PARK SOUTH, EDINBURGH NORTH, ELIZABETH DOWNS, ELIZABETH NORTH, ELIZABETH PARK",8816,45803,43458,2519
TAS,Top,1,7005,"DYNNYRNE, LOWER SANDY BAY, SANDY BAY",9401,86944,53357,354
TAS,Top,2,7258,"BREADALBANE, RELBIA, WHITE HILLS",625,86795,57752,359
TAS,Top,3,7053,"BONNET HILL, TAROONA",2343,79718,58175,518
TAS,Top,4,7007,"MOUNT NELSON, TOLMANS HILL",2196,79397,57709,529
TAS,Top,5,7004,"BATTERY POINT, SOUTH HOBART",5295,78881,57207,541
TAS,Top,6,7170,"ACTON PARK, CAMBRIDGE, MOUNT RUMNEY, ROCHES BEACH, SEVEN MILE BEACH",3832,78294,61682,572
TAS,Top,7,7000,"GLEBE, HOBART, MOUNT STUART, NORTH HOBART, QUEENS DOMAIN, WEST HOBART",10435,74693,56603,707
TAS,Top,8,7024,CREMORNE,358,74193,59127,738
TAS,Top,9,7212,"BEN LOMOND, BLESSINGTON, BURNS CREEK, DEDDINGTON, EVANDALE, NILE, UPPER BLESSINGTON, WESTERN JUNCTION",1094,72923,50919,803
TAS,Top,10,7008,"LENAH VALLEY, NEW TOWN",8533,70682,58012,922
TAS,Bottom,1,7001,HOBART PO BOX,407,34656,2816,2608
TAS,Bottom,2,7187,KOONYA,74,39414,38228,2590
TAS,Bottom,3,7257,CAPE BARREN ISLAND,54,42184,37400,2574
