state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3096,1243,1233,93024318,74839,56021,703,153
VIC,3097,976,963,96148057,98512,56506,205,57
VIC,3099,3104,3083,231652796,74630,57271,711,155
VIC,3101,17054,16797,2215830396,129930,66789,57,14
VIC,3102,4529,4465,464623798,102589,62546,175,48
VIC,3103,10807,10560,1039045793,96146,51752,227,62
VIC,3104,14109,13858,1307528403,92673,54759,272,70
VIC,3105,7150,7061,550412215,76981,54816,616,134
VIC,3106,11159,10981,1036265893,92864,53887,270,69
VIC,3107,8913,8804,658936726,73930,53308,756,170
VIC,3108,17043,16740,1140325508,66909,48000,1169,277
VIC,3109,19629,19302,1314032608,66943,48787,1168,276
VIC,3111,8197,8116,686405898,83739,54421,421,101
VIC,3113,5648,5600,527129320,93330,60081,265,68
VIC,3114,2650,2629,275714994,104043,64959,167,46
VIC,3115,2656,2631,284923683,107275,62639,146,38
VIC,3116,7553,7498,534186224,70725,58321,919,206
VIC,3121,22700,22531,2332192892,102740,76146,174,47
VIC,3122,17147,16980,2175455517,126871,67828,64,15
VIC,3123,10825,10700,1316757718,121640,70253,79,18
VIC,3124,15719,15488,1771883191,112722,64556,118,30
VIC,3125,10300,10134,680531796,66071,46183,1224,293
VIC,3126,5548,5424,785297787,141546,64347,44,11
VIC,3127,13163,12987,1371942706,104227,63786,163,43
VIC,3128,15542,15202,965207105,62103,45002,1509,368
VIC,3129,11509,11335,856090357,74384,51798,727,160
VIC,3130,21634,21392,1701638542,78656,56752,555,124
VIC,3131,14544,14379,1013259021,69669,55130,981,223
VIC,3132,11075,10971,839743974,75823,60265,658,145
VIC,3133,14588,14408,1039428318,71252,53159,891,197
VIC,3134,22283,22070,1678523754,75328,58488,683,148
VIC,3135,12779,12685,945979621,74026,59945,751,169
VIC,3136,28662,28451,2016786725,70364,58724,946,211
VIC,3137,9156,9084,619841290,67698,58682,1107,255
VIC,3138,14225,14117,962790527,67683,57886,1110,256
VIC,3139,9095,9018,582849080,64085,54367,1368,333
VIC,3140,11250,11176,775602652,68942,58165,1025,238
VIC,3141,19168,18929,2304119248,120207,70962,84,20
VIC,3142,9857,9704,2380576390,241511,79456,4,1
VIC,3143,6978,6893,936092536,134149,79221,49,12
VIC,3144,7996,7914,1208469538,151134,75639,29,8
VIC,3145,16265,16089,1836607138,112918,64999,117,29
VIC,3146,17774,17625,2139472510,120371,71148,83,19
VIC,3147,9621,9530,911889884,94781,63688,243,65
VIC,3148,6313,6250,453674449,71864,58042,857,188
VIC,3149,23653,23299,1811531250,76588,55600,630,141
VIC,3150,41444,40661,2877820989,69439,47859,996,228
VIC,3151,7478,7354,471155259,63006,48529,1436,351
VIC,3152,22481,22191,1522235322,67712,53023,1106,254
VIC,3153,13229,13111,854884149,64622,57464,1323,320
VIC,3154,2668,2647,187312206,70207,58839,955,214
VIC,3155,14535,14400,933596258,64231,57263,1360,331
VIC,3156,24155,23960,1705051554,70588,58061,933,209
VIC,3158,4286,4255,305158553,71199,58216,895,198
VIC,3159,1643,1631,121810084,74139,59696,742,165
VIC,3160,5710,5661,416306114,72908,59891,804,176
VIC,3161,11974,11827,1421770701,118738,68036,91,21
VIC,3162,12130,12026,1235569411,101861,65561,180,50
VIC,3163,23118,22891,1858002384,80370,62520,499,111
VIC,3165,18867,18684,1548709897,82086,63943,458,106
VIC,3166,16179,16021,1276494787,78898,59914,540,121
VIC,3167,6267,6194,448585104,71579,59145,872,193
VIC,3168,14949,14670,758644844,50749,41927,2335,630
VIC,3169,13192,13039,787625664,59705,51376,1683,421
VIC,3170,12431,12286,842061536,67739,55918,1102,252
VIC,3171,13371,13143,669989052,50108,43981,2366,636
VIC,3172,13977,13815,842977691,60312,50033,1635,408
VIC,3173,18732,18481,1174355828,62693,53261,1463,357
VIC,3174,23483,23140,1231850374,52457,47629,2227,592
VIC,3175,29279,28786,1588830769,54265,47072,2114,549
VIC,3177,6402,6290,319636387,49928,45728,2373,638
VIC,3178,22083,21890,1563903766,70819,59286,912,202
VIC,3179,3887,3851,252024591,64838,54967,1309,315
VIC,3180,4945,4896,315461843,63794,54144,1383,335
VIC,3181,14721,14594,1502315524,102053,73144,179,49
VIC,3182,17664,17466,1535227224,86913,62528,356,89
VIC,3183,12787,12666,1178190920,92140,63636,279,72
VIC,3184,10957,10871,1141858675,104213,73958,165,45
VIC,3185,9265,9180,995109170,107405,70145,145,37
VIC,3186,16895,16654,2711408787,160486,72357,23,7
VIC,3187,11005,10903,1233195300,112058,66092,121,31
VIC,3188,12043,11941,1419122045,117838,67495,94,23
VIC,3189,4221,4181,330111884,78207,62518,575,129
VIC,3190,7826,7783,693052514,88558,68570,330,83
VIC,3191,7234,7171,857161933,118491,68307,92,22
VIC,3192,15411,15293,1214086123,78780,63283,547,122
VIC,3193,13876,13767,1536563436,110735,64755,125,32
VIC,3194,8902,8836,722238112,81132,63151,482,108
VIC,3195,23908,23756,2014857644,84275,63862,403,98
VIC,3196,16541,16413,1275714569,77124,64044,612,133
VIC,3197,7715,7658,614511778,79652,61676,520,114
VIC,3198,10232,10146,690109628,67446,58897,1135,264
VIC,3199,32875,32639,2217552986,67454,56108,1134,263
VIC,3200,2698,2667,145869279,54066,50314,2132,554
VIC,3201,13627,13516,865167595,63489,58079,1400,338
VIC,3202,1750,1741,131754219,75288,61823,685,149
VIC,3204,21774,21523,1928832185,88584,64169,328,82
VIC,3205,9063,8920,979164202,108040,69917,138,34
VIC,3206,6954,6874,1170193251,168276,80173,17,4
VIC,3207,12089,11955,1366679836,113052,77736,113,27
VIC,3211,784,779,68301631,87119,56198,352,87
VIC,3212,12028,11958,827798324,68823,58848,1030,240
